Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB7,pose009,0.00,-30.91,0.00,-30.91,-2.63,5.41,2.78,5.41,-28.14
GB7,pose010,0.00,-27.70,-0.00,-27.70,-2.52,9.91,7.39,9.91,-20.31
GB8,pose001,0.00,-33.85,0.00,-33.85,-2.91,7.99,5.08,7.99,-28.77
GB8,pose002,0.00,-33.04,0.00,-33.03,-2.91,4.25,1.35,4.25,-31.69
GB8,pose003,0.00,-33.88,0.00,-33.88,-2.92,7.91,4.99,7.91,-28.89
GB8,pose004,0.00,-30.54,0.00,-30.54,-2.70,10.15,7.46,10.15,-23.08
GB8,pose005,0.00,-30.91,0.00,-30.91,-2.71,10.45,7.74,10.45,-23.17
GB8,pose006,0.00,-31.69,-0.00,-31.69,-2.77,8.71,5.94,8.71,-25.75
GB8,pose007,0.00,-30.22,0.00,-30.22,-2.66,11.16,8.50,11.16,-21.72
GB8,pose008,0.00,-29.20,-0.00,-29.20,-2.61,6.65,4.04,6.65,-25.16
GB8,pose009,0.00,-30.91,0.00,-30.91,-2.63,6.08,3.44,6.08,-27.47
GB8,pose010,0.00,-27.70,-0.00,-27.70,-2.52,12.41,9.89,12.41,-17.81
